id,updated,output_folder
https://domo-support.domo.com/s/topic/0TO5w000000ZapTGAS,2023-04-30 19:39:56.801003,../../raw_kb_v2\category\0TO5w000000ZapTGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZapSGAS,2023-04-30 19:39:58.257757,../../raw_kb_v2\category\0TO5w000000ZapSGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZapUGAS,2023-04-30 19:39:59.726674,../../raw_kb_v2\category\0TO5w000000ZapUGAS
https://domo-support.domo.com/s/topic/0TO5w000000ZdT7GAK,2023-04-30 19:40:01.170751,../../raw_kb_v2\category\0TO5w000000ZdT7GAK
https://domo-support.domo.com/s/article/360048000154,2023-04-30 19:40:04.346765,../../raw_kb_v2\article\360048000154
https://domo-support.domo.com/s/article/360048925554,2023-04-30 19:40:07.365754,../../raw_kb_v2\article\360048925554
https://domo-support.domo.com/s/article/360043437733,2023-04-30 19:40:10.637091,../../raw_kb_v2\article\360043437733
https://domo-support.domo.com/s/article/360042932934,2023-04-30 19:40:14.362413,../../raw_kb_v2\article\360042932934
https://domo-support.domo.com/s/article/360042932874,2023-04-30 19:40:17.734293,../../raw_kb_v2\article\360042932874
https://domo-support.domo.com/s/article/360043437513,2023-04-30 19:40:20.893206,../../raw_kb_v2\article\360043437513
https://domo-support.domo.com/s/article/360042932914,2023-04-30 19:40:24.139353,../../raw_kb_v2\article\360042932914
https://domo-support.domo.com/s/article/360043437633,2023-04-30 19:40:27.216037,../../raw_kb_v2\article\360043437633
https://domo-support.domo.com/s/article/360043437653,2023-04-30 19:40:31.095571,../../raw_kb_v2\article\360043437653
https://domo-support.domo.com/s/article/360043437673,2023-04-30 19:40:34.604104,../../raw_kb_v2\article\360043437673
https://domo-support.domo.com/s/article/360043437753,2023-04-30 19:40:38.150383,../../raw_kb_v2\article\360043437753
https://domo-support.domo.com/s/article/1500003408882,2023-04-30 19:40:41.576929,../../raw_kb_v2\article\1500003408882
https://domo-support.domo.com/s/article/360043931734,2023-04-30 19:40:48.250808,../../raw_kb_v2\article\360043931734
https://domo-support.domo.com/s/article/360043437693,2023-04-30 19:40:51.570966,../../raw_kb_v2\article\360043437693
https://domo-support.domo.com/s/article/360048717414,2023-04-30 19:40:55.675646,../../raw_kb_v2\article\360048717414
https://domo-support.domo.com/s/article/360042950534,2023-04-30 19:40:58.836919,../../raw_kb_v2\article\360042950534
https://domo-support.domo.com/s/article/360043437713,2023-04-30 19:41:02.090054,../../raw_kb_v2\article\360043437713
https://domo-support.domo.com/s/article/7440921035671,2023-04-30 19:41:05.341020,../../raw_kb_v2\article\7440921035671
https://domo-support.domo.com/s/article/36004740075,2023-04-30 19:41:08.548429,../../raw_kb_v2\article\36004740075
https://domo-support.domo.com/s/article/360043437533,2023-04-30 19:41:11.860106,../../raw_kb_v2\article\360043437533
https://domo-support.domo.com/s/article/360056727214,2023-04-30 19:41:14.997137,../../raw_kb_v2\article\360056727214
https://domo-support.domo.com/s/article/360043440753,2023-04-30 19:41:18.176646,../../raw_kb_v2\article\360043440753
https://domo-support.domo.com/s/article/360044353933,2023-04-30 19:41:21.235652,../../raw_kb_v2\article\360044353933
https://domo-support.domo.com/s/article/360048847833,2023-04-30 19:41:24.404834,../../raw_kb_v2\article\360048847833
https://domo-support.domo.com/s/article/000005166,2023-04-30 19:41:27.406102,../../raw_kb_v2\article\000005166
https://domo-support.domo.com/s/article/360042932974,2023-04-30 19:41:30.436209,../../raw_kb_v2\article\360042932974
https://domo-support.domo.com/s/article/360042932954,2023-04-30 19:41:33.722357,../../raw_kb_v2\article\360042932954
https://domo-support.domo.com/s/topic/0TO5w000000ZdTHGA0,2023-04-30 19:41:35.299474,../../raw_kb_v2\category\0TO5w000000ZdTHGA0
https://domo-support.domo.com/s/article/360047787514,2023-04-30 19:41:38.418050,../../raw_kb_v2\article\360047787514
https://domo-support.domo.com/s/article/360055259234,2023-04-30 19:41:42.636889,../../raw_kb_v2\article\360055259234
https://domo-support.domo.com/s/article/360057087393,2023-04-30 19:41:46.296131,../../raw_kb_v2\article\360057087393
https://domo-support.domo.com/s/article/360043427653,2023-04-30 19:41:49.511169,../../raw_kb_v2\article\360043427653
https://domo-support.domo.com/s/article/360045163773,2023-04-30 19:41:52.545461,../../raw_kb_v2\article\360045163773
https://domo-support.domo.com/s/article/360051062653,2023-04-30 19:41:55.570906,../../raw_kb_v2\article\360051062653
https://domo-support.domo.com/s/article/360043427693,2023-04-30 19:41:58.125455,../../raw_kb_v2\article\360043427693
https://domo-support.domo.com/s/article/4662034775319,2023-04-30 19:42:00.970604,../../raw_kb_v2\article\4662034775319
https://domo-support.domo.com/s/article/4662355030423,2023-04-30 19:42:03.539153,../../raw_kb_v2\article\4662355030423
https://domo-support.domo.com/s/article/360043427673,2023-04-30 19:42:06.589744,../../raw_kb_v2\article\360043427673
https://domo-support.domo.com/s/article/000005150,2023-04-30 19:42:10.862801,../../raw_kb_v2\article\000005150
https://domo-support.domo.com/s/article/360044289573,2023-04-30 19:42:14.239137,../../raw_kb_v2\article\360044289573
https://domo-support.domo.com/s/article/4662511363351,2023-04-30 19:42:19.396602,../../raw_kb_v2\article\4662511363351
https://domo-support.domo.com/s/article/4408794063639,2023-04-30 19:42:26.033516,../../raw_kb_v2\article\4408794063639
https://domo-support.domo.com/s/article/360044296573,2023-04-30 19:42:30.435600,../../raw_kb_v2\article\360044296573
