id,name,url,updated,output_file_path
0TO5w000000ZapTGAS,Workbench 5,https://domo-support.domo.com/s/topic/0TO5w000000ZapTGAS,2023-04-16 19:35:09.486603,../../raw_kb/category/workbench_5
0TO5w000000ZapSGAS,Workbench 4,https://domo-support.domo.com/s/topic/0TO5w000000ZapSGAS,2023-04-16 19:36:58.207841,../../raw_kb/category/workbench_4
0TO5w000000ZapUGAS,Workbench 5.1,https://domo-support.domo.com/s/topic/0TO5w000000ZapUGAS,2023-04-16 19:35:18.484962,../../raw_kb/category/workbench_51
0TO5w000000ZdT7GAK,Workbench 5.2,https://domo-support.domo.com/s/topic/0TO5w000000ZdT7GAK,2023-04-16 19:35:11.105436,../../raw_kb/category/workbench_52
0TO5w000000ZanvGAC,Magic ETL,https://domo-support.domo.com/s/topic/0TO5w000000ZanvGAC,2023-04-16 19:34:19.643963,../../raw_kb/category/magic_etl
0TO5w000000ZanWGAS,DataSet Views,https://domo-support.domo.com/s/topic/0TO5w000000ZanWGAS,2023-04-16 19:35:57.951819,../../raw_kb/category/dataset_views
0TO5w000000Zao9GAC,SQL DataFlows,https://domo-support.domo.com/s/topic/0TO5w000000Zao9GAC,2023-04-16 19:35:54.054864,../../raw_kb/category/sql_dataflows
0TO5w000000ZanUGAS,DataFlow Management,https://domo-support.domo.com/s/topic/0TO5w000000ZanUGAS,2023-04-16 19:35:36.048740,../../raw_kb/category/dataflow_management
0TO5w000000Zao8GAC,SDKs,https://domo-support.domo.com/s/topic/0TO5w000000Zao8GAC,2023-04-16 19:37:02.724373,../../raw_kb/category/sdks
0TO5w000000ZaniGAC,Enterprise Stacker,https://domo-support.domo.com/s/topic/0TO5w000000ZaniGAC,2023-04-16 19:35:38.750167,../../raw_kb/category/enterprise_stacker
0TO5w000000ZaoJGAS,Transformation Tips And Tricks,https://domo-support.domo.com/s/topic/0TO5w000000ZaoJGAS,2023-04-16 19:35:34.737051,../../raw_kb/category/transformation_tips_and_tricks
0TO5w000000ZanVGAS,DataFusion,https://domo-support.domo.com/s/topic/0TO5w000000ZanVGAS,2023-04-16 19:32:46.093989,../../raw_kb/category/datafusion
